<f9v>          {$I=H $Q=B $P=B $L=A $H=1}
# Last edited on 1998-10-10 22:43:16 by stolfi
#
# Identification:
#
#   Title: "Viola tricolor"
#   Page: f9v = BB (Rene) = p018 (Stolfi)
#   Folio: f9
#   Panels: f9v
#   Bifolio: bB1 = f9+f16
#   Quire: B (Rene) = II (Beinecke)
#
# Attributes:
#
#   Language: A (Currier)
#   Hand: 1 (Currier)
#   Subsets: H (Rene), hea (Stolfi)
#   Subject: herbal
#   Plant: 17 (Petersen; misnumbered 15 on his page 1)
#   Colors: blue,green (Reeds)
#   Plant: 17 (Petersen)
#
# Description:
#
#   One plant, flush against the right and bottom edges, reaching
#   almost to the top.
#
#     Root: a bundle of thin wires. Dark overpaint?
#     Stem: one straight. Light color.
#     Branches: two symmetrical pairs, oblique.
#     Leaves: the four lower ones are medium width, lance-shaped,
#       with smooth edges; the others have the same outline but
#       are deeply cut into five narrow points.  Dark color.
#       Stalk: short, mostly missing.
#     Flowers: five, at the tips of stem and branches.
#       Stalk: medium length, thin. Chalyx: flat or everted, with short
#       triangular sepals, partly hidden by corolla.  Petals: five rounded
#       petals, a large one on top, the others like "arms and legs". Core:
#       very small. Medium and dark colors.
#
#   Two paragraphs (with 3.7 and 7.7 lines) at the top,
#   left-justified. The first one is right-justified; the second one
#   follows the plant's profile on the right. Both are interrupted in
#   several places by the flowers and leaves.
#
# Comments:
#
#   Petersen identifies this plant, with high confidence, as "Viola
#   trinitalis".  I coudn't find such species, but "herba trinitatis" is
#   the herbalists' name for Viola tricolor (heartsease,wild pansy) [1,2,3].
#
#   Indeed, comparing f9v with a drawing by Carl Lindman [1], we see
#   an almost perfect match --- including the roots, and the two types
#   of leaves.
#
#   Dennis Mardle [10 Oct 1998] observes that the details match also
#   Viola arvensis (field pansy), which hybridises with V. tricolor
#   and is very similar in shape, including especially the dimorphic
#   leaves [1,4].
#
#   The colors may help resolve this issue. The flowers of Viola
#   tricolor are usually purple and white with yellow core; Lindman's
#   drawing shows V. arvensis as white (or light blue?) with yellow
#   core. Jim Reeds color list [03 Mar 1998] reports some blue on this
#   page, to be confirmed.
#
#   In either case, there is one odd detail: the flowers in f9v are
#   upside-down.  Also the two bottom flowers are somewhat differen.
#
#   Viola tricolor was used internally to treat epilepsy, asthma and
#   bronchitis (whole plant), as an emetic and purgative (seeds) and as
#   a heart tonic (flowers). Externally it was used to treat skin
#   diseases [2].  The flowers are reported to be edible.
#
# References:
#
#   [1] Carl Axel Magnus Lindman
#   Bilder ur Nordens Flora
#   227. A. Styvmorsviol, Viola tricolor L.; B. kerviol, Viola arvensis Murr.
#   http://www.lysator.liu.se/runeberg/nordflor/
#   http://www.lysator.liu.se/runeberg/nordflor/227.html 
#
#   [2] Mrs. M. Grieve, F.R.H.S.
#   A Modern Herbal
#   Viola tricolor - Heartsease
#   http://www.botanical.com/botanical/mgmh/mgmh.html
#   http://www.botanical.com/botanical/mgmh/h/hearts10.html
#   
#   [3] ECNC DATABASE: SAXIFRAGA European Flora Slides
#   Viola tricolor ssp. tricolor 
#   http://www.ecnc.nl/doc/ecnc/saxifrag/euroflor.html
#   http://www.ecnc.nl/gif/viotritr.gif
#
#   [4] ECNC DATABASE: SAXIFRAGA European Flora Slides
#   Viola Arvensis Murr.
#   http://www.ecnc.nl/doc/ecnc/saxifrag/euroflor.html
#   http://www.ecnc.nl/gif/vioarv.gif
#   
#
## <f9v.P> {}
# text
# Last edited on 1998-12-06 13:54:43 by stolfi
#
<f9v.P.1;H>        fochor.oporody.opy.shor.daiin.qopchypcho.qofol.shol.cfhol.daiin-
<f9v.P.1;C>        fochor.oporody.opy.shor.daiin.qopchypcho.qofol.shol.cfhol.daiin-
<f9v.P.1;F>        fochor.oporody.opy.shor.daiin.qopchypcho.qofol.shol.cfhol.daiin-
<f9v.P.1;U>        fochor.oporody.opy.shor.daiin.qopchypcho.qofol.shol.cphol.daiin-
#
<f9v.P.2;H>        dchor.qoaiin.chkaiin.cthor.chol.chor.cphol.dy-{plant}oty.qokaiin.dy-
<f9v.P.2;C>        dchor.qoaiin.chkaiin.cthor.chol.chor.cphol.dy-{plant}oty.qokaiin.dy-
<f9v.P.2;F>        dchor.qoaiin.chkaiin.cthor.chol.chor.cphol.dy-{plant}oty.qokaiin.dy-
<f9v.P.2;U>        dchor.qoaiin.chkaiin.cthor.chol.chor.cphol.dy-{plant}oty.qokaiin.dy-
#
<f9v.P.3;H>        ykey.chor.ykaiin.daiin.cthy.otaiin.oky-{plant}oeees.daiin-
<f9v.P.3;C>        ykey.chor.ykaiin.daiin.cthy.otaiin.oky-{plant}oeees.daiin-
<f9v.P.3;F>        ykey.chor.ykaiin.daiin.cthy.otaiin.oky-{plant}oeees.daiin-
<f9v.P.3;U>        ykey.chor.ykaiin.daiin.cthy.otaiin.oky-{plant}oeees.daiin-
#
<f9v.P.4;H>        ytey.tchy.kaiin.cthor.otol.oty.toldy={plant}
<f9v.P.4;C>        ytey!tchy.kaiin.cthor.otol.oty.toldy={plant}
<f9v.P.4;F>        ytey.tchy.kaiin.cthor.otol.oty.toldy={plant}
<f9v.P.4;U>        ytey.tchy.taiin.cthor.otol.oty.toldy={plant}
#
<f9v.P.5;H>        pchor.ypcheey.qotor.ypchy.olcfholy.te-{plant}ar-{plant}chty.daiiin-{plant}
<f9v.P.5;C>        pchor.ypcheey.qotor.ypchy.olcpholy.ky-{plant}ar-{plant}chty.daiiin-{plant}
<f9v.P.5;F>        pchor.ypcheey.qotor.ypchy.olcfholy.to-{plant}ar-{plant}chty.daiiin-{plant}
<f9v.P.5;U>        pchor.ypchchy.qotor.ypchy.olcfholy.te-{plant}ar-{plant}chty.daiiin-{plant}
#
<f9v.P.6;H>        odol.choy.ksheody.chody-{plant}dai!n-{plant}otchy-{plant}cthod.yky-{plant}
<f9v.P.6;C>        odol.choy.ksheody.chody-{plant}dai!n-{plant}otchy-{plant}cthod-yko-{plant}
<f9v.P.6;F>        odol.choy.ksheody.chody-{plant}daiin-{plant}otchy-{plant}cthod-yko-{plant}
<f9v.P.6;U>        odol.choy.ksheody.chody-{plant}dai!n-{plant}otchy-{plant}cthod-yko-{plant}
#
<f9v.P.7;H>        qochol.chol.ctchy.daiin-{plant}otal-{plant}dor-{plant}daim-{plant}
<f9v.P.7;C>        qo.chol.chol.*chy.daiin-{plant}otal-{plant}dor-{plant}daim-{plant}
<f9v.P.7;F>        qochol.chol.cthey.daiin-{plant}otal-{plant}dor-{plant}daim-{plant}
<f9v.P.7;U>        qochol.chol.ctchy.daiin-{plant}otal-{plant}dor-{plant}daim-{plant}
#
<f9v.P.8;H>        soiin.daiin.qokcho.rokyd-{plant}daly-{plant}
<f9v.P.8;C>        soiin.daiin.qokcho.rokyd-{plant}daly-{plant}
<f9v.P.8;F>        soiin.daiin.qokcho.rokyd-{plant}daly-{plant}
<f9v.P.8;U>        soiin.daiin.qokcho.rokyd-{plant}daly-{plant}
#
<f9v.P.9;H>        daiin.chy.tor.chyty.dary-{plant}ytoldy-{plant}
<f9v.P.9;C>        daiin.chy.tor.chyty.dary-{plant}ytoldy-{plant}
<f9v.P.9;F>        daiin.chy.tor.chyty.dary-{plant}ytoldy-{plant}
<f9v.P.9;U>        daiin.chy.tor.chyty.dary-{plant}ytoldy-{plant}
#
<f9v.P.10;H>       oty.kchol.chol.chy.kyty-{plant}
<f9v.P.10;C>       oty.kchol.chol.chy.kyty-{plant}
<f9v.P.10;F>       oty.kchol.chol.chy!kyty-{plant}
<f9v.P.10;U>       oty.kchol.chol.chy.kyty-{plant}
#
<f9v.P.11;H>       ychor.chshoty.oky.kaiin-{plant}
<f9v.P.11;C>       ychor.chshoty.oky!kaiin-{plant}
<f9v.P.11;F>       ychor.chshoty.oky.kaiin-{plant}
<f9v.P.11;U>       ychor.chshoty.oky!kaiin-{plant}
#
